manudir,manudir-href,City,High,Low
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Riga, Latvia","3","-4"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Tallinn, Estonia","9","2"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Saint Petersburg, Russia","-2","-7"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","San Marino, San Marino","8","0"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Volgograd, Russia","4","-1"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Riga, Latvia","20","10"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Ufa, Russia","7","0"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Sofia, Bulgaria","5","-3"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Sarajevo, Bosnia & Herzegovina","22","10"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Sofia, Bulgaria","4","-3"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Rotterdam, Netherlands","19","11"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Valletta, Malta","16","9"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Samara, Russia","-1","-8"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Sarajevo, Bosnia & Herzegovina","15","4"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Valletta, Malta","17","10"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Stockholm, Sweden","9","1"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Rome, Italy","17","4"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Sofia, Bulgaria","20","9"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Saint Petersburg, Russia","8","3"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Stockholm, Sweden","-1","-5"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Reykjavík, Iceland","13","8"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Warsaw, Poland","13","3"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Zagreb, Croatia","16","6"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Zurich, Switzerland","3","-3"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Samara, Russia","-6","-11"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Vaduz, Liechtenstein","5","-1"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Vaduz, Liechtenstein","4","-3"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Volgograd, Russia","29","18"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Turin, Italy","28","17"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Zagreb, Croatia","16","6"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","San Marino, San Marino","13","5"
